Date,Pair,Open,High,Low,Close
3/8/2012 0:00,GBPUSD,1.57403,1.58327,1.57237,1.58271
3/9/2012 0:00,GBPUSD,1.58272,1.58279,1.56618,1.5672
3/12/2012 0:00,GBPUSD,1.56662,1.56945,1.56024,1.56401
3/13/2012 0:00,GBPUSD,1.564,1.57465,1.56199,1.57065
3/14/2012 0:00,GBPUSD,1.57066,1.57424,1.56491,1.5668
3/15/2012 0:00,GBPUSD,1.56681,1.57351,1.56332,1.57029
3/16/2012 0:00,GBPUSD,1.57028,1.58601,1.56939,1.58398
3/19/2012 0:00,GBPUSD,1.5844,1.59129,1.58211,1.58906
3/20/2012 0:00,GBPUSD,1.58906,1.58959,1.583,1.58602
3/21/2012 0:00,GBPUSD,1.58603,1.59222,1.5817,1.58656
3/22/2012 0:00,GBPUSD,1.58655,1.58916,1.5769,1.58151
3/23/2012 0:00,GBPUSD,1.58152,1.59072,1.58051,1.58663
3/26/2012 0:00,GBPUSD,1.58712,1.59726,1.58008,1.59675
3/27/2012 0:00,GBPUSD,1.59677,1.60001,1.59419,1.59463
3/28/2012 0:00,GBPUSD,1.59463,1.59634,1.58416,1.58871
3/29/2012 0:00,GBPUSD,1.5887,1.5957,1.58596,1.59507
3/30/2012 0:00,GBPUSD,1.5951,1.60357,1.59462,1.60061
4/2/2012 0:00,GBPUSD,1.60062,1.60617,1.59785,1.60198
4/3/2012 0:00,GBPUSD,1.60209,1.6045,1.58907,1.59102
4/4/2012 0:00,GBPUSD,1.59103,1.59128,1.58324,1.58896
4/5/2012 0:00,GBPUSD,1.58896,1.59077,1.58042,1.58258
4/6/2012 0:00,GBPUSD,1.58257,1.58894,1.58224,1.58645
4/9/2012 0:00,GBPUSD,1.58895,1.59132,1.58352,1.58965
4/10/2012 0:00,GBPUSD,1.58965,1.59296,1.58088,1.58603
4/11/2012 0:00,GBPUSD,1.58602,1.5937,1.58513,1.59085
4/12/2012 0:00,GBPUSD,1.59085,1.59835,1.59063,1.59578
4/13/2012 0:00,GBPUSD,1.59577,1.59685,1.58406,1.58444
4/16/2012 0:00,GBPUSD,1.58501,1.59094,1.5818,1.5896
4/17/2012 0:00,GBPUSD,1.5896,1.59691,1.58617,1.59262
4/18/2012 0:00,GBPUSD,1.5926,1.60414,1.58944,1.6017
4/19/2012 0:00,GBPUSD,1.60169,1.60761,1.60085,1.60525
4/20/2012 0:00,GBPUSD,1.60525,1.61483,1.60378,1.61215
4/23/2012 0:00,GBPUSD,1.6126,1.61332,1.60759,1.61241
4/24/2012 0:00,GBPUSD,1.61243,1.61621,1.61089,1.61412
4/25/2012 0:00,GBPUSD,1.61414,1.61813,1.60811,1.61674
4/26/2012 0:00,GBPUSD,1.61675,1.62061,1.61576,1.61776
4/27/2012 0:00,GBPUSD,1.61777,1.62793,1.61527,1.62594
4/30/2012 0:00,GBPUSD,1.62735,1.63006,1.62206,1.62357
