Date,Pair,Open,High,Low,Close
1/2/2012 0:00,GBPUSD,1.54937,1.55153,1.5487,1.55054
1/2/2012 4:00,GBPUSD,1.55055,1.55147,1.54985,1.55097
1/2/2012 8:00,GBPUSD,1.55082,1.55405,1.54852,1.54984
1/2/2012 12:00,GBPUSD,1.54983,1.55105,1.54743,1.54855
1/2/2012 16:00,GBPUSD,1.54854,1.55089,1.54669,1.55066
1/2/2012 20:00,GBPUSD,1.55068,1.55155,1.54832,1.55089
1/3/2012 0:00,GBPUSD,1.55091,1.55354,1.5504,1.55331
1/3/2012 4:00,GBPUSD,1.5533,1.55774,1.5523,1.55526
1/3/2012 8:00,GBPUSD,1.55525,1.56074,1.55515,1.55859
1/3/2012 12:00,GBPUSD,1.55855,1.56227,1.5569,1.55915
1/3/2012 16:00,GBPUSD,1.55916,1.56687,1.55912,1.5664
1/3/2012 20:00,GBPUSD,1.56641,1.56645,1.56418,1.56438
1/4/2012 0:00,GBPUSD,1.56437,1.5649,1.56287,1.56304
1/4/2012 4:00,GBPUSD,1.56301,1.56478,1.56266,1.56457
1/4/2012 8:00,GBPUSD,1.56457,1.56672,1.56152,1.56329
1/4/2012 12:00,GBPUSD,1.56328,1.56375,1.55801,1.56295
1/4/2012 16:00,GBPUSD,1.56293,1.56462,1.55912,1.56196
1/4/2012 20:00,GBPUSD,1.56195,1.56234,1.56069,1.56091
1/5/2012 0:00,GBPUSD,1.56091,1.56162,1.56022,1.56076
1/5/2012 4:00,GBPUSD,1.56074,1.56103,1.55874,1.55922
1/5/2012 8:00,GBPUSD,1.55921,1.56283,1.55369,1.55422
1/5/2012 12:00,GBPUSD,1.55421,1.5552,1.54757,1.54894
1/5/2012 16:00,GBPUSD,1.54888,1.55003,1.5467,1.54929
1/5/2012 20:00,GBPUSD,1.54927,1.55018,1.54799,1.54943
1/6/2012 0:00,GBPUSD,1.54942,1.55035,1.54888,1.54976
1/6/2012 4:00,GBPUSD,1.54977,1.55068,1.5475,1.54946
1/6/2012 8:00,GBPUSD,1.54944,1.55179,1.54865,1.54979
1/6/2012 12:00,GBPUSD,1.5498,1.5524,1.54064,1.54113
1/6/2012 16:00,GBPUSD,1.5411,1.54337,1.53751,1.54264
1/6/2012 20:00,GBPUSD,1.5426,1.5433,1.54161,1.54243
1/9/2012 0:00,GBPUSD,1.54151,1.54246,1.53953,1.54101
1/9/2012 4:00,GBPUSD,1.541,1.54343,1.54029,1.54274
1/9/2012 8:00,GBPUSD,1.54275,1.54574,1.54204,1.54412
1/9/2012 12:00,GBPUSD,1.54411,1.54688,1.54209,1.54346
1/9/2012 16:00,GBPUSD,1.54344,1.54577,1.5419,1.54333
1/9/2012 20:00,GBPUSD,1.54334,1.54672,1.54331,1.54588
1/10/2012 0:00,GBPUSD,1.54589,1.54671,1.54514,1.5464
1/10/2012 4:00,GBPUSD,1.54645,1.54842,1.54635,1.54745
1/10/2012 8:00,GBPUSD,1.54744,1.54995,1.54459,1.54667
1/10/2012 12:00,GBPUSD,1.54668,1.54853,1.54515,1.54796
1/10/2012 16:00,GBPUSD,1.54795,1.54967,1.5468,1.54821
1/10/2012 20:00,GBPUSD,1.54822,1.54901,1.54746,1.54822
1/11/2012 0:00,GBPUSD,1.54826,1.54828,1.54465,1.54534
1/11/2012 4:00,GBPUSD,1.54533,1.54664,1.54514,1.54634
1/11/2012 8:00,GBPUSD,1.54632,1.54862,1.54231,1.54349
1/11/2012 12:00,GBPUSD,1.5435,1.54396,1.5353,1.5355
1/11/2012 16:00,GBPUSD,1.53551,1.53644,1.53088,1.53258
1/11/2012 20:00,GBPUSD,1.5326,1.53324,1.5315,1.53264
1/12/2012 0:00,GBPUSD,1.53261,1.5334,1.53117,1.53247
1/12/2012 4:00,GBPUSD,1.53248,1.53259,1.53087,1.53249
1/12/2012 8:00,GBPUSD,1.53248,1.53484,1.52789,1.53418
1/12/2012 12:00,GBPUSD,1.5342,1.53667,1.531,1.53359
1/12/2012 16:00,GBPUSD,1.5336,1.53453,1.53106,1.53355
1/12/2012 20:00,GBPUSD,1.53356,1.5345,1.5326,1.53359
1/13/2012 0:00,GBPUSD,1.53361,1.53442,1.53331,1.53369
1/13/2012 4:00,GBPUSD,1.53368,1.53918,1.53345,1.5377
1/13/2012 8:00,GBPUSD,1.53769,1.54078,1.53206,1.53318
1/13/2012 12:00,GBPUSD,1.53319,1.53521,1.52868,1.52936
1/13/2012 16:00,GBPUSD,1.52936,1.53054,1.52358,1.52939
1/13/2012 20:00,GBPUSD,1.52939,1.53286,1.52908,1.53156
1/16/2012 0:00,GBPUSD,1.52944,1.5312,1.5287,1.53037
1/16/2012 4:00,GBPUSD,1.53037,1.53197,1.52972,1.53161
1/16/2012 8:00,GBPUSD,1.53165,1.53285,1.52818,1.5311
1/16/2012 12:00,GBPUSD,1.53109,1.5325,1.52944,1.53159
1/16/2012 16:00,GBPUSD,1.53158,1.53515,1.53036,1.53238
1/16/2012 20:00,GBPUSD,1.53239,1.53255,1.53097,1.53106
1/17/2012 0:00,GBPUSD,1.53106,1.53601,1.53099,1.53578
1/17/2012 4:00,GBPUSD,1.53579,1.53749,1.53557,1.53659
1/17/2012 8:00,GBPUSD,1.53659,1.53966,1.53536,1.53841
1/17/2012 12:00,GBPUSD,1.5384,1.54034,1.53346,1.53401
1/17/2012 16:00,GBPUSD,1.53403,1.53652,1.53371,1.5343
1/17/2012 20:00,GBPUSD,1.5343,1.53528,1.53204,1.53346
1/18/2012 0:00,GBPUSD,1.53345,1.53457,1.53275,1.53448
1/18/2012 4:00,GBPUSD,1.53447,1.53587,1.53333,1.53398
1/18/2012 8:00,GBPUSD,1.53397,1.53869,1.53272,1.53686
1/18/2012 12:00,GBPUSD,1.53681,1.54349,1.53413,1.54239
1/18/2012 16:00,GBPUSD,1.54241,1.54367,1.53944,1.54195
1/18/2012 20:00,GBPUSD,1.54197,1.54409,1.54151,1.54271
1/19/2012 0:00,GBPUSD,1.54271,1.54396,1.54213,1.54382
1/19/2012 4:00,GBPUSD,1.54384,1.54442,1.54217,1.5429
1/19/2012 8:00,GBPUSD,1.54288,1.54572,1.5415,1.54432
1/19/2012 12:00,GBPUSD,1.54432,1.54641,1.54317,1.54498
1/19/2012 16:00,GBPUSD,1.54499,1.54868,1.5441,1.5475
